148.98,115.96,41.00,66.00
151.16,112.86,41.00,74.00
151.16,113.86,41.00,73.00
152.16,110.86,39.00,83.00
148.16,111.86,36.00,82.00
148.16,111.86,28.00,83.00
139.16,108.86,35.00,86.00
128.16,105.86,41.00,86.00
126.16,105.86,41.00,85.00
109.16,99.86,53.00,84.00
102.16,96.86,53.00,79.00
99.16,97.86,51.00,73.00
90.16,94.86,55.00,66.00
89.16,92.86,52.00,60.00
89.16,90.86,52.00,61.00
87.16,88.86,50.00,49.00
86.16,85.86,47.00,45.00
83.16,81.86,44.00,45.00
84.16,82.86,41.00,44.00
81.16,79.86,43.00,43.00
